No,Article ID,Article URL (API/Permlink),Article Title,Publisher,Publication Date
28,Document028,https://plus.lexis.com/api/permalink/7dec83b1-017f-4dc3-a256-0e7314eebb62/?context=1001073,Travel and leisure shares hit by worries over quarantine,The Times,26/01/2021
29,Document029,https://plus.lexis.com/api/permalink/9adfdc87-1b68-49ba-aab4-1d5968eedba9/?context=1001073,Quarantine row over frail widower,The Times,12/03/2021
30,Document030,https://plus.lexis.com/api/permalink/83874f88-2865-4954-a5ea-cb96ab58ff4c/?context=1001073,Don't relax travel rules',The Times,19/04/2021
31,Document031,https://plus.lexis.com/api/permalink/5916befd-88e2-4199-b563-62e11464c40a/?context=1001073,Tui hits out at 'cautious' UK as losses take their toll,The Times,13/05/2021
32,Document032,https://plus.lexis.com/api/permalink/11ad66df-911a-4fd5-92d2-619e55011a5b/?context=1001073,Greece offers young people cash for jabs,The Times,29/06/2021
33,Document033,https://plus.lexis.com/api/permalink/79df8f8a-3fe4-4e42-931e-d6ef9d1e9e35/?context=1001073,"Don't bank on a vaccine, says No 10 science chief",The Times,20/04/2020
34,Document034,https://plus.lexis.com/api/permalink/7857f524-e759-4a95-bd81-937cc8accffd/?context=1001073,"Breakthrough on antibodies is not far off, say researchers",The Times,08/06/2020
35,Document035,https://plus.lexis.com/api/permalink/c21b346e-318b-4016-8f47-c16acdd58479/?context=1001073,Glaxo signs coronavirus vaccine deal,The Times,08/07/2020
36,Document036,https://plus.lexis.com/api/permalink/db9d87ca-c859-447e-81b4-fc22fddfbdd1/?context=1001073,Oxford vaccine may be a shot in the arm for Huawei,The Times,04/08/2020
37,Document037,https://plus.lexis.com/api/permalink/3ae180d1-e7ce-41ae-80af-fb34b6f5d0c3/?context=1001073,Oxford pause in US 'damaging',The Times,24/09/2020
38,Document038,https://plus.lexis.com/api/permalink/1b8708b6-d1d9-4d16-8375-8ca76191ea57/?context=1001073,Facemasks may be needed for a further ten months,The Times,14/10/2020
39,Document039,https://plus.lexis.com/api/permalink/544bc45a-8416-4b4b-99fe-ec2b8221bacf/?context=1001073,Dolly Parton trumps the White House in vaccine race,The Times,18/11/2020
40,Document040,https://plus.lexis.com/api/permalink/d1c5e318-2fd0-4285-b4ab-f5716cd86dbc/?context=1001073,Couple have jabs at hospital where they worked for decades together,The Times,10/12/2020
41,Document041,https://plus.lexis.com/api/permalink/25486ba3-0662-400e-acbd-cf43a03772f6/?context=1001073,EU approval for Moderna amid outcry at slow rollout,The Times,07/01/2021
42,Document042,https://plus.lexis.com/api/permalink/8ee0d96c-64d1-4cc5-9d18-5283a76c024f/?context=1001073,Antibodies found to last at least six months for most,The Times,03/02/2021
43,Document043,https://plus.lexis.com/api/permalink/e002f444-ea26-47fc-8fa1-6474713a3b51/?context=1001073,"New strains likely in the coming years, warns expert",The Times,06/03/2020
44,Document044,https://plus.lexis.com/api/permalink/975067ab-6059-489a-b8c1-c09b3af3a4d5/?context=1001073,Oxford vaccine gets $1.2bn shot in the arm from US,The Times,22/05/2020
45,Document045,https://plus.lexis.com/api/permalink/3e582c7e-f0b2-4098-8617-bcccb51d29a5/?context=1001073,Analysis As the world waits [...],The Times,02/06/2020
46,Document046,https://plus.lexis.com/api/permalink/87dd9d4d-b111-47d8-b35c-46f6e2eb0ac5/?context=1001073,Markets get shot in the arm from vaccine trial,The Times,17/11/2020
47,Document047,https://plus.lexis.com/api/permalink/0370f8a1-b34e-4a16-8034-c9050cc5a491/?context=1001073,New virus is more dangerous than flu,The Times,03/03/2020
48,Document048,https://plus.lexis.com/api/permalink/6850fdab-5099-4cf6-88d6-7e4b9098c9d3/?context=1001073,Tenth of Londoners may have had Covid-19 already,The Times,12/05/2020
,,,,,
,,,,,
,,,,,
,,https://plus.lexis.com/api/permalink/a051bce2-52cc-40b7-8d9d-126e02815de4/?context=1001073,,,
